product_id,title,price,sales,feedbacks,seller,seller_rating,Процессор,Оперативная память,Жесткий диск,Видеопроцессор,Операционная система,Гарантийный срок,Страна производства,Габариты товара,Габариты товара (с упаковкой)
10148385,Системный блок OFFICE 120 WB 0710623 J1800/4Gb/2Tb+SSD120Gb/300W/DOS,10805₽,Купили более 400 раз, 7 отзывов,,,"{'Процессор_тип': 'Intel Celeron', 'Количество ядер процессора': '2'}","{'Тип оперативной памяти': 'DDR 3', 'Объем оперативной памяти (Гб)': '4 ГБ'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': None}",Intel HD Graphics,отсутствует,3года,Россия,"{'Ширина предмета': '28.5 см', 'Глубина предмета': '40 см', 'Высота предмета': '9.6 см', 'Вес без упаковки (кг)': '3.5 кг'}","{'Длина упаковки': '43.5 см', 'Ширина упаковки': '12.5 см', 'Высота упаковки': '34 см', 'Вес с упаковкой (кг)': '5 кг'}"
17877962,Системный блок,32900₽,, 0 отзывов,,,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': 'не заполнено'}","{'Тип оперативной памяти': 'не заполнено', 'Объем оперативной памяти (Гб)': '16 ГБ'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '256 Гб'}",не заполнено,отсутствует,,Китай,"{'Ширина предмета': None, 'Глубина предмета': None, 'Высота предмета': None, 'Вес без упаковки (кг)': None}","{'Длина упаковки': '43 см', 'Ширина упаковки': None, 'Высота упаковки': None, 'Вес с упаковкой (кг)': None}"
17880420,Компьютер Hp Prodesk 400 g6 mt,35720₽,, 0 отзывов,,,"{'Процессор_тип': 'не заполнено', 'Количество ядер процессора': 'не заполнено'}","{'Тип оперативной памяти': 'не заполнено', 'Объем оперативной памяти (Гб)': '16 ГБ'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '512 Гб'}",не заполнено,отсутствует,,,"{'Ширина предмета': None, 'Глубина предмета': None, 'Высота предмета': None, 'Вес без упаковки (кг)': None}","{'Длина упаковки': None, 'Ширина упаковки': None, 'Высота упаковки': None, 'Вес с упаковкой (кг)': None}"
19347937,Офисный Компьютер Robotcomp Казначей V1,39237₽,Купили более 10 раз, 1 отзыв,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '8'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",Intel UHD Graphics 630,windows пробная,3 Года (36 месяцев),Россия,"{'Ширина предмета': '28 см', 'Глубина предмета': '58 см', 'Высота предмета': '58 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '60 см', 'Ширина упаковки': '30 см', 'Высота упаковки': '60 см', 'Вес с упаковкой (кг)': '8 кг'}"
19348951,Игровой Компьютер Robotcomp М16 2.0 V1,76188₽,Купили более 200 раз, 94 отзыва,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '960 Гб'}",NVIDIA GeForce GTX 1660,windows пробная,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '44 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '50 см', 'Ширина упаковки': '24 см', 'Высота упаковки': '50 см', 'Вес с упаковкой (кг)': '8 кг'}"
19355097,Игровой Компьютер Robotcomp M-16 V1,55625₽,Купили более 40 раз, 12 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",NVIDIA GeForce GTX 1650,windows пробная,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '44 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '50 см', 'Ширина упаковки': '24 см', 'Высота упаковки': '50 см', 'Вес с упаковкой (кг)': '8 кг'}"
19355097,Игровой Компьютер Robotcomp M-16 V1,55625₽,Купили более 40 раз, 12 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",NVIDIA GeForce GTX 1650,windows пробная,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '44 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '50 см', 'Ширина упаковки': '24 см', 'Высота упаковки': '50 см', 'Вес с упаковкой (кг)': '8 кг'}"
19358744,Игровой Компьютер Robotcomp Анаконда 2.0 V1,128284₽,Купили более 5 раз, 4 отзыва,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '10'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '960 Гб'}",NVIDIA GeForce RTX 3070,windows пробная,3 Года (36 месяцев),Россия,"{'Ширина предмета': '21 см', 'Глубина предмета': '45 см', 'Высота предмета': '46 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '57 см', 'Ширина упаковки': '30 см', 'Высота упаковки': '53 см', 'Вес с упаковкой (кг)': '8 кг'}"
19364495,Игровой Компьютер Robotcomp F22 Raptor V1,48386₽,Купили более 30 раз, 9 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i3', 'Количество ядер процессора': '4'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16 ГБ'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",NVIDIA GeForce GTX 1650,windows пробная,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '39 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '46 см', 'Ширина упаковки': '26 см', 'Высота упаковки': '50 см', 'Вес с упаковкой (кг)': '8 кг'}"
19369504,Офисный Компьютер Robotcomp Босс V1,25393₽,Купили более 10 раз, 1 отзыв,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i3', 'Количество ядер процессора': '4'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '8'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",Intel UHD Graphics 630,windows пробная,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '40 см', 'Высота предмета': '43 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '47 см', 'Ширина упаковки': '23 см', 'Высота упаковки': '44 см', 'Вес с упаковкой (кг)': '8 кг'}"
